Timestamp,Category,Query
2026-07-28 19:52:57,Labour & Employment,my employer has not paid my salary
2026-07-28 19:53:38,Labour & Employment,my employer has not paid my salary
2026-07-28 19:55:46,Labour & Employment,my employer has not paid my salary
2026-07-28 20:03:38,Labour & Employment,my employer has not paid for 6 months
2026-07-28 20:03:44,Labour & Employment,my employer has not paid for 6 months
2026-07-28 20:04:06,Labour & Employment,my employer has not paid for 6 months
2026-07-28 20:06:49,Labour & Employment,my employer has not paid for 6 months 
2026-07-28 23:10:06,Labour & Employment,my employer has not payed me salary for 6 months
2026-07-28 23:18:56,Labour & Employment,My employer has not paid my salary for four months.
2026-07-29 00:50:38,Labour & Employment,My employer has not paid me for 6 months
2026-07-29 01:04:45,Labour & Employment,My employer has not paid me salary for 6 months
2026-07-29 01:04:47,Labour & Employment,My employer has not paid me salary for 6 months
2026-07-29 01:13:18,Labour & Employment,"I have been working as a software engineer in a private company in Bengaluru for the last 14 months. For the past four months, my employer has not paid my salary despite repeatedly assuring me that the payment would be made soon. I have sent multiple emails and WhatsApp messages requesting payment, but they either ignore my messages or keep postponing the payment.

I have an appointment letter, salary slips from previous months, bank statements showing earlier salary credits, and screenshots of my conversations with my manager. Recently, they asked me to resign voluntarily without paying my pending salary.

What legal options do I have? Which government authority should I approach? What documents should I keep ready before filing a complaint?"
